X;Y
1;56.9665844
2;60.75017141
3;60.87374449
4;61.09990102
5;64.00376068
6;60.33474882
7;66.23746192
8;66.45038169
9;63.92143456
10;61.36221476
11;69.56676296
12;63.23802041
13;72.45425722
14;73.26209075
15;68.3528954
16;72.62178743
17;67.73275548
18;69.64276148
19;73.49042677
20;75.19887586
21;76.05702157
22;75.50595958
23;82.38180699
24;81.85715196
25;80.43947329
26;80.21810558
27;80.12828433
28;78.40987462
29;85.06907547
30;81.76229966
31;85.17567523
32;86.99855271
33;88.12164376
34;90.67530375
35;92.42711478
36;88.90887847
37;89.82351521
38;92.10504789
39;90.00170513
40;95.26182068
41;98.08431977
42;95.70665687
43;99.72340268
44;95.1725013
45;103.9853809
46;103.8015367
47;99.10078067
48;103.3704511
49;106.8680498
50;100.2883953
